id;target
bfce3e95eb794472877aeaca215e0c59;1
dc3a9fc909be4e7bb298b6be5df0dabb;1
9af44122585b423493ba05828fba8ac3;1
2c25ac9ddbcc4e10b8c629b1066f10a1;1
6445ba12604a409da95f80ed48e7e9cc;1
4434f73c3a8c47448eb67e4fcbb8420e;0
aeac171a1bd54f8ebb67362b2dda2461;1
169e7a7381cb45048c751dd3b050cdbb;0
fc1ac85c638b4f1198fa5477608af8e2;0
cf54fe1358994753a6a71653f0de9dee;1
76827b8416e04b81b28a7d0eab0c353e;0
979e1a87f116433b8dae4138c0d0fbac;0
ffd4794fbc154fdbbe727ccd944b12ea;0
8b06a79346d84f6998071f8a95bdfc15;0
8e2e45a93b3743bf83e5131589526b24;0
68220ec5b1c3468d99236ecec3399a0c;0
d5500733faba4715992d410eea188fde;0
70d8b74d297e43d49e22566f966cc186;0
aa56df971e95491aa2250192631bb19f;0
98f34df03b41474aaec39425f8cf5413;0
6f1554af440541ad8b008a608c40de7f;0
45f6005f0d83425088c4056994076f60;0
fd73189ca3f9430ca5b376668f25a6df;0
ebc42dc3299b4c2985592fd5862287f2;0
4c0b81459b394f5ea9fa86518945e0d3;0
81135c16ae9740418bf0d7e51da44f10;0
c1ac239e82214ec3879bcc44a0b97118;0
0b8d3411e38845ba95bd431793f6cae5;0
63e643b992684ca088f02b85b6594bee;0
4e8f6f4ca52446adad4892b373fcebce;0
ee40e04adeba42bc9fa0f2a5c4341e7b;0
dd40db6d994140c2b10061d6d01e0950;0
800798f921ff4a8cafb77c950d3bf835;0
f4ac30ec8e25469fb5cec2eba48a6559;1
868ce40a7a924963bfb7478148ba7b2a;0
5adc74b84d014890ba7c5bd08106e43d;1
eeebfe869479482198c4232a2d21dbad;0
99ccc486219848318caad70af418d48f;0
aa7d5bd0be9340339628c975a4cc9439;0
d13c7fbf83e44b0c9aa05258cdf53591;1
c3bd20f71cc64692a0a0bd9d992e073e;0
3d6b4ae8daeb4e6b83f56fe9d8a4e8e3;0
98f3caf71b3245feb172f2b708821455;0
70ee948561a644f69374ac7a8fdd3b9f;1
e1013583b3704fa28f7f1fda513c503a;0
286dd5a287774cd3a8c8955aab8b38c1;0
7fee67791f5048348ad43d6fe4346425;0
6808ff6fbdb64282a8976576c98cc23d;1
a181baa766f24b7caf3f8a13ff82e899;0
153225375cfc4d95a03795168f57a38e;0
8f9dacb0bacb40bbbb5a6c1d86e93a30;0
56ed51fda7794b53ab36f2ad6b2b459a;1
2092491e913247788e907899f9385021;1
4be07bb3433a4b86b4f0d8929a723965;0
4ce21a30d76a4f7d91012c51433506c3;0
95cb58e3cb9c4c68bf034914ee730e54;1
722eeef39aa14078ab2bf9f713dbb40c;0
b46386df82454d31b95266a47610db91;1
1ff63a6d64294b64927614dfdadc9577;0
acacab3fd5da47f09f7493af57d053af;0
42e2070e62564ffe9fc02ac68b4ecf96;0
ecdc976283b841ac9e02574cbffae061;1
71a1e2f7770e4755abcc729b712470ac;0
96ed5cf0746d4a16ad82f380977016cd;0
f29eaefd4a104c11bbdb0cdb9af03a55;0
a9392b4914014bc687c8ba6bd56044f9;0
5a2f86870b0c4165a5f4e583d3471bb7;0
cbb2445c46344eea9daad634c9365439;0
6296393695d8413a9b57ecaef36b295e;1
23b5e6ea4d444d41885f1497db1c39d6;0
08b2328dfcb945f5825e2e24da3fd2e2;0
0db34269e0614a3f93b6144420b94276;0
5b3edf4fcba14120be27edf9953771f3;1
e8f95968e1fe40cf9c9c38b619a7ba44;0
763827dd1c974d0495211888341cc2b0;1
5917f1c9e1ad4b6289c9294bdd148b5b;0
139a2f4e77de48fab8575c500e9e723e;1
cfa53e96f9884fc4bfc9051937d6f28a;1
1c401bbd17044532a38bd34fa9a4fe6a;0
426de625a89c4dd785e5be1366c5ee52;0
300b8ff662e740159413ea87e2f5ff60;1
f6e0e5e33573479ea4c445295bf5c504;0
1ab297f54da0423698f94518ca512734;0
79494fea8712431c9becb53524979e68;0
2b813bbb385c4927a58f4e681edbcb7e;0
d32e6c0205d44d14b31e0b631769f4f5;1
df560ef5f188408d9a0b42ba5a588b85;0
cd59f9ebd4954d9baf3bffc06c1b7e53;0
ebfe277b7cc64aa79e07cc222915d7f4;0
24c5b0b2c18e4b3e88b99f1a03b58fd5;0
f974a59bac3d4ddd9ce3ac6f3768f91a;0
